ID,GTStart,GTEnd,TBLQStart,TBLQEnd,TQRStart,TQREnd 
Video39,00:00 , 04:06,00:53 , 05:18,00:00 , 05:18
Video40,00:00 , 13:40,01:19 , 06:41,00:00 , 01:22
Video41,00:00 , 05:23,00:00 , 00:40,00:00 , 00:41
Video42,00:00 , 08:30,01:45 , 06:40,00:52 , 06:40
Video43,15:00 , 16:30,14:34 , 26:46,07:52 , 19:20
Video44,12:20 , 15:00,08:17 , 18:12,07:52 , 19:20
Video45,00:00 , 05:17,00:00 , 00:35,03:11 , 05:08
Video46,00:00 , 03:50,00:00 , 05:34,00:00 , 08:03
Video47,00:00 , 05:16,00:00 , 00:36,00:00 , 00:36
Video48,06:37 , 12:00,00:00 , 01:05,04:59 , 06:50
Video49,00:00 , 02:50,00:00 , 01:29,00:00 , 01:29

Video50,00:00 , 04:30,00:00 , 05:32,00:00 , 05:22
Video51,04:15 , 06:10,01:20 , 06:10,01:20 , 06:10
Video52,00:00 , 07:45,00:27 , 01:02,06:08 , 08:02
Video53,01:41 , 07:17,02:11 , 05:06,00:27 , 05:06
Video54,00:00 , 03:00,09:25 , 12:41,07:14 , 15:58
Video55,04:00 , 06:10,00:00 , 01:03,01:46 , 03:04
Video56,00:00 , 01:15,03:08 , 05:26,03:08 , 06:33
Video57,00:00 , 03:10,00:00 , 03:22,00:00 , 03:22
Video58,00:00 , 03:50,02:11 , 03:41,02:11 , 03:42
Video59,05:55 , 09:10,14:34 , 27:23,10:23 , 22:51
Video60,00:00 , 02:39,00:00 , 00:30,00:00 , 00:30
Video61,00:00 , 11:00,09:24 , 14:53,00:00 , 04:58
Video62,01:00 , 03:52,00:00 , 00:58,00:00 , 04:54
Video63,03:20 , 06:14,00:00 , 04:15,01:23 , 05:49
Video64,00:00 , 04:38,10:16 , 18:36,06:13 , 14:04
Video65,00:00 , 03:08,?,?
Video66,00:00 , 04:30,00:00 , 08:42,02:35 , 08:38
Video67,05:17 , 07:20,00:00 , 01:07,01:19 , 07:11
Video68,00:00 , 01:00,00:00 , 04:04,00:00 , 04:04
Video69,00:00 , 12:50,00:00 , 10:00,00:00 , 05:03
Video70,00:00 , 03:00,02:25 , 04:43,02:25 , 04:43
Video71,00:00 , 06:14,00:00 , 00:43,01:48 , 07:35
Video72,00:00 , 22:57,00:00 , 24:13,00:00 , 23:21
Video73,00:00 , 07:53,00:52 , 08:19,03:37 , 15:24
Video74,00:00 , 06:40,00:00 , 04:08,01:22 , 02:31
Video75,00:00 , 04:15,00:55 , 02:05,00:55 , 02:35
Video76,05:30 , 10:15,03:10 , 09:32,03:10 , 09:32
Video77,00:00 , 05:16,01:46 , 03:51,01:46 , 07:10
Video78,00:00 , 03:30,00:27 , 02:26,00:27 , 04:34
Video79,00:00 , 01:30,00:00 , 00:34,00:00 , 00:34
Video80,00:00 , 04:00,00:00 , 01:16,00:00 , 02:34
Video81,00:00 , 03:01,00:00 , 03:48,00:00 , 03:48
Video82,02:40 , 06:19,00:00 , 06:33,02:11 , 06:00
Video83,00:00 , 01:40,00:00 , 08:35,00:00 , 08:35
Video84,00:00 , 02:08,00:00 , 00:53,00:00 , 01:47
Video85,00:00 , 02:35,00:00 , 01:03,00:00 , 00:34
Video86,00:00 , 04:46,00:00 , 00:40,00:00 , 00:40
Video87,00:00 , 06:20,00:00 , 13:01,08:20 , 21:44
Video88,01:15 , 07:50,00:00 , 01:31,07:38 , 13:47
Video89,00:00 , 03:34,01:44 , 04:37,00:00 , 04:37
Video90,00:00 , 03:20,00:00 , 04:15,00:00 , 04:15
Video91,00:00 , 07:19,00:00 , 01:05,03:36 , 07:16
Video92,11:30 , 15:00,08:51 , 13:35,00:00 , 09:35
Video93,15:30 , 24:00,00:00 , 01:29,12:46 , 19:13
Video94,01:48 , 05:00,04:00 , 10:09,02:16 , 14:39
Video95,00:00 , 07:30,02:15 , 07:00,02:15 , 06:29
Video96,00:00 , 22:57,00:00 , 24:14,00:00 , 23:22
Video97,00:00 , 08:18,03:04 , 06:03,03:04 , 06:03
Video98,00:00 , 03:00,00:00 , 04:30,00:00 , 03:22

