#ID,GTStart,GTEnd,TBLQStart,TBLQEnd,TQRStart,TQREnd 
Video38,00:00 , 04:00,01:47 , 03:24,00:58 , 02:46
Video39,00:00 , 04:06,00:53 , 05:18,01:22 , 01:38
Video40,00:00 , 13:40,01:19 , 06:41,00:09 , 00:13
Video41,00:00 , 05:23,00:00 , 00:40,00:26 , 00:39
Video42,00:00 , 08:30,01:45 , 06:40,01:04 , 09:11
Video43,15:00 , 16:30,14:34 , 26:46,13:03 , 17:01
Video44,12:20 , 15:00,08:17 , 18:12,00:46 , 12:40
Video45,00:00 , 05:17,00:00 , 00:35,00:06 , 00:29
Video46,00:00 , 03:50,00:00 , 05:34,08:00 , 08:42
Video47,00:00 , 05:16,00:00 , 00:36,00:09 , 03:29
Video48,06:37 , 12:00,00:00 , 01:05,00:21 , 00:24
Video49,00:00 , 02:50,00:00 , 01:29,00:37 , 00:40
Video50,00:00 , 04:30,00:00 , 05:32,00:36 , 00:56
Video51,04:15 , 06:10,01:20 , 06:10,01:57 , 03:44
Video52,00:00 , 07:45,00:27 , 01:02,00:06 , 00:08
Video53,01:41 , 07:17,02:11 , 05:06,00:14 , 11:21
Video54,00:00 , 03:00,09:25 , 12:41,01:18 , 01:54
Video55,04:00 , 06:10,00:00 , 01:03,00:16 , 03:40
Video56,00:00 , 01:15,03:08 , 05:26,00:02 , 09:32
Video57,00:00 , 03:10,00:00 , 03:22,00:13 , 00:41
Video58,00:00 , 03:50,02:11 , 03:41,00:16 , 02:42
Video59,05:55 , 09:10,14:34 , 27:23,25:53 , 26:28
Video60,00:00 , 02:39,00:00 , 00:30,00:13 , 04:36
Video61,00:00 , 11:00,09:24 , 14:53,16:24 , 18:44
Video62,01:00 , 03:52,00:00 , 00:58,00:07 , 00:17
Video63,03:20 , 06:14,00:00 , 04:15,03:53 , 04:09
Video64,00:00 , 04:38,10:16 , 18:36,00:04 , 18:08
Video65,00:00 , 03:08,00:00 , 00:01,01:17 , 01:40
Video66,00:00 , 04:30,00:00 , 08:42,10:20 , 24:46
Video67,05:17 , 07:20,00:00 , 01:07,02:13 , 05:38
Video68,00:00 , 01:00,00:00 , 04:04,00:06 , 00:11
Video69,00:00 , 12:50,00:00 , 10:00,03:44 , 12:52
Video70,00:00 , 03:00,02:25 , 04:43,01:43 , 01:59
Video71,00:00 , 06:14,00:00 , 00:43,03:49 , 03:56
Video72,00:00 , 22:57,00:00 , 24:13,24:57 , 26:30
Video73,00:00 , 07:53,00:52 , 08:19,06:10 , 07:07
Video74,00:00 , 06:40,00:00 , 04:08,00:12 , 00:42
Video75,00:00 , 04:15,00:55 , 02:05,00:16 , 01:59
Video76,05:30 , 10:15,03:10 , 09:32,10:29 , 11:24
Video77,00:00 , 05:16,01:46 , 03:51,03:18 , 04:15
Video78,00:00 , 03:30,00:27 , 02:26,00:59 , 02:10
Video79,00:00 , 01:30,00:00 , 00:34,00:05 , 00:12
Video80,00:00 , 04:00,00:00 , 01:16,00:19 , 01:03
Video81,00:00 , 03:01,00:00 , 03:48,01:34 , 02:45
Video82,02:40 , 06:19,00:00 , 06:33,05:55 , 06:23
Video83,00:00 , 01:40,00:00 , 08:35,05:44 , 05:49
Video84,00:00 , 02:08,00:00 , 00:53,00:11 , 01:35
Video85,00:00 , 02:35,00:00 , 01:03,00:11 , 01:44
Video86,00:00 , 04:46,00:00 , 00:40,01:27 , 59:36
Video87,00:00 , 06:20,00:00 , 13:01,01:51 , 26:30
Video88,01:15 , 07:50,00:00 , 01:31,00:09 , 00:15
Video89,00:00 , 03:34,01:44 , 04:37,04:02 , 05:42
Video90,00:00 , 03:20,00:00 , 04:15,00:31 , 04:14
Video91,00:00 , 07:19,00:00 , 01:05,07:18 , 08:04
Video92,11:30 , 15:00,08:51 , 13:35,03:24 , 04:25
Video93,15:30 , 24:00,00:00 , 01:29,00:29 , 12:38
Video94,01:48 , 05:00,04:00 , 10:09,02:50 , 04:19
Video95,00:00 , 07:30,02:15 , 07:00,04:59 , 06:23
Video96,00:00 , 22:57,00:00 , 24:14,24:57 , 26:30
Video97,00:00 , 08:18,03:04 , 06:03,00:04 , 02:42
Video98,00:00 , 03:00,00:00 , 04:30,00:53 , 02:56
